id,booking_date,origin,destination,dep_date,dep_time,pax,fare_choice
1,20170210,MAA,DEL,20170601,630,2,Deal
2,20170527,DEL,BOM,20170601,1745,1,Classic
3,20170530,BOM,DEL,20170601,900,1,Saver
4,20170530,BOM,BLR,20170601,2130,2,Classic
5,20170530,DEL,BOM,20170601,1240,1,Classic
6,20170530,DEL,BOM,20170601,1030,1,Flex
7,20170530,DEL,BLR,20170601,705,3,Classic
8,20170531,BLR,BOM,20170601,855,1,Classic
9,20170531,BOM,DEL,20170601,2055,1,Classic
10,20170511,MAA,DEL,20170601,630,2,Deal
11,20170601,BOM,CCU,20170601,1255,1,Classic
12,20170601,BOM,MAA,20170601,1915,2,Deal
13,20170428,HYD,BOM,20170601,1940,1,Saver
14,20170326,MAA,DEL,20170601,630,1,Saver
15,20170310,DEL,BLR,20170601,1150,3,Saver
16,20170529,BOM,CCU,20170601,1750,1,Classic
17,20170530,DEL,BLR,20170601,705,1,Classic
18,20170530,DEL,BLR,20170601,750,1,Classic
19,20170530,DEL,BOM,20170601,2245,1,Classic
20,20170503,DEL,BLR,20170601,2045,1,Saver
21,20170531,BOM,DEL,20170601,700,1,Saver
22,20170524,BLR,BOM,20170601,2150,1,Saver
23,20170531,BOM,DEL,20170601,730,1,Classic
24,20170531,DEL,BOM,20170601,2050,1,Flex
25,20170601,GOI,BOM,20170601,1500,1,Classic
26,20170601,BLR,BOM,20170601,2150,2,Classic
27,20170601,BOM,DEL,20170601,1630,1,Saver
28,20170526,DEL,BOM,20170601,945,1,Saver
29,20170526,BLR,BOM,20170601,2035,4,Classic
30,20170526,MAA,BOM,20170601,700,1,Classic
31,20170601,CCU,BOM,20170601,1405,1,Classic
32,20170526,DEL,BOM,20170601,1240,1,Saver
33,20170411,DEL,MAA,20170601,1100,4,Deal
34,20170531,MAA,BOM,20170601,810,1,Classic
35,20170531,BOM,BLR,20170601,1550,2,Classic
36,20170531,BOM,DEL,20170601,2055,2,Classic
37,20170406,MAA,DEL,20170601,1820,1,Deal
38,20170520,CCU,BOM,20170601,925,1,Saver
39,20170531,BOM,DEL,20170601,900,1,Classic
40,20170531,BOM,DEL,20170601,730,1,Classic
41,20170511,BOM,DEL,20170601,800,4,Saver
42,20170601,BOM,BLR,20170601,2025,1,Classic
43,20170421,DEL,MAA,20170601,1100,1,Deal
44,20170422,MAA,DEL,20170601,1030,1,Deal
45,20170527,DEL,BLR,20170601,1830,1,Classic
46,20170531,BOM,DEL,20170601,1915,1,Classic
47,20170524,DEL,BOM,20170601,2150,1,Saver
48,20170518,DEL,BLR,20170601,1450,1,Classic
49,20170519,BLR,BOM,20170601,1615,1,Saver
50,20170526,BOM,CCU,20170601,610,1,Classic
51,20170512,BLR,BOM,20170601,545,3,Deal
52,20170512,BLR,DEL,20170601,700,1,Deal
53,20170512,BLR,DEL,20170601,700,1,Deal
54,20170520,DEL,BLR,20170601,2140,1,Saver
55,20170508,BOM,CCU,20170601,1255,1,Saver
56,20170502,BOM,MAA,20170601,835,1,Deal
57,20170416,BLR,DEL,20170601,1510,1,Deal
58,20170529,MAA,BOM,20170601,1920,1,Classic
59,20170529,BOM,BLR,20170601,630,1,Classic
60,20170529,BOM,DEL,20170601,1500,1,Classic
61,20170530,DEL,BOM,20170601,1240,3,Classic
62,20170419,DEL,MAA,20170601,1100,1,Deal
63,20170530,BOM,CCU,20170601,2035,1,Saver
64,20170507,MAA,DEL,20170601,1930,2,Deal
65,20170528,BLR,BOM,20170601,700,1,Classic
66,20170515,DEL,BOM,20170601,1945,1,Saver
67,20170508,CCU,BOM,20170601,2120,4,Saver
68,20170529,DEL,BOM,20170601,1615,1,Classic
69,20170530,DEL,BOM,20170601,1400,1,Classic
70,20170509,GOI,BOM,20170601,1500,2,Deal
71,20170601,GOI,BOM,20170601,705,1,Classic
72,20170509,CCU,BOM,20170601,145,4,Saver
73,20170512,DEL,MAA,20170601,845,1,Saver
74,20170516,HYD,BOM,20170601,1830,1,Saver
75,20170530,MAA,DEL,20170601,630,1,Classic
76,20170530,DEL,BOM,20170601,1030,1,Classic
77,20170530,GOI,BOM,20170601,1835,1,Flex
78,20170530,BOM,DEL,20170601,700,1,Saver
79,20170530,DEL,BOM,20170601,1400,1,Classic
80,20170530,DEL,BLR,20170601,750,1,Classic
81,20170530,DEL,BOM,20170601,1030,1,Classic
82,20170530,DEL,BOM,20170601,1030,1,Classic
83,20170514,GOI,BOM,20170601,1500,3,Saver
84,20170501,MAA,DEL,20170601,630,3,Deal
85,20170529,MAA,DEL,20170601,1930,1,Flex
86,20170529,DEL,CCU,20170601,730,2,Saver
87,20170509,DEL,CCU,20170601,1050,1,Saver
