,id,Classic,Deal,Flex,Saver
0,73831,0.0,1.0,0.0,0.0
1,73832,0.0,0.2,0.0,0.8
2,73833,0.0,0.8,0.0,0.2
3,73834,0.0,0.0,0.8,0.2
4,73835,0.0,0.8,0.0,0.2
5,73836,0.0,1.0,0.0,0.0
6,73837,0.0,0.0,1.0,0.0
7,73838,1.0,0.0,0.0,0.0
8,73839,1.0,0.0,0.0,0.0
9,73840,0.8,0.0,0.0,0.2
10,73841,1.0,0.0,0.0,0.0
11,73842,0.0,0.0,1.0,0.0
12,73843,0.0,0.0,0.0,1.0
13,73844,1.0,0.0,0.0,0.0
14,73845,0.2,0.0,0.0,0.8
15,73846,0.0,0.2,0.0,0.8
16,73847,0.0,0.6,0.0,0.4
17,73848,1.0,0.0,0.0,0.0
18,73849,0.2,0.0,0.8,0.0
19,73850,1.0,0.0,0.0,0.0
20,73851,0.4,0.0,0.0,0.6
21,73852,1.0,0.0,0.0,0.0
22,73853,0.6,0.0,0.4,0.0
23,73854,0.2,0.0,0.0,0.8
24,73855,1.0,0.0,0.0,0.0
25,73856,0.0,1.0,0.0,0.0
26,73857,0.0,0.6,0.0,0.4
27,73858,0.0,1.0,0.0,0.0
28,73859,1.0,0.0,0.0,0.0
29,73860,0.8,0.0,0.0,0.2
30,73861,0.0,0.8,0.0,0.2
31,73862,0.0,0.8,0.0,0.2
32,73863,0.8,0.0,0.2,0.0
33,73864,0.4,0.2,0.0,0.4
34,73865,0.0,1.0,0.0,0.0
35,73866,0.0,0.0,1.0,0.0
36,73867,0.0,0.0,0.0,1.0
37,73868,0.2,0.0,0.0,0.8
38,73869,0.0,1.0,0.0,0.0
39,73870,0.0,1.0,0.0,0.0
40,73871,1.0,0.0,0.0,0.0
41,73872,0.0,0.2,0.0,0.8
42,73873,0.0,0.6,0.0,0.4
43,73874,0.2,0.4,0.0,0.4
44,73875,0.0,1.0,0.0,0.0
45,73876,1.0,0.0,0.0,0.0
46,73877,0.8,0.0,0.0,0.2
47,73878,1.0,0.0,0.0,0.0
48,73879,0.4,0.0,0.6,0.0
49,73880,0.0,0.0,1.0,0.0
50,73881,1.0,0.0,0.0,0.0
51,73882,0.0,1.0,0.0,0.0
52,73883,0.0,0.0,1.0,0.0
53,73884,0.0,1.0,0.0,0.0
54,73885,0.4,0.0,0.6,0.0
55,73886,0.0,1.0,0.0,0.0
56,73887,0.0,1.0,0.0,0.0
57,73888,0.0,1.0,0.0,0.0
58,73889,0.2,0.0,0.0,0.8
59,73890,0.0,1.0,0.0,0.0
60,73891,0.0,0.4,0.0,0.6
61,73892,0.0,1.0,0.0,0.0
62,73893,0.0,0.4,0.0,0.6
63,73894,0.0,0.0,1.0,0.0
64,73895,1.0,0.0,0.0,0.0
65,73896,1.0,0.0,0.0,0.0
66,73897,1.0,0.0,0.0,0.0
67,73898,0.0,0.0,1.0,0.0
68,73899,1.0,0.0,0.0,0.0
69,73900,1.0,0.0,0.0,0.0
70,73901,0.0,0.6,0.0,0.4
71,73902,0.4,0.0,0.6,0.0
72,73903,1.0,0.0,0.0,0.0
73,73904,0.0,0.4,0.0,0.6
74,73905,0.8,0.0,0.2,0.0
75,73906,0.0,0.2,0.0,0.8
76,73907,1.0,0.0,0.0,0.0
77,73908,0.0,0.0,1.0,0.0
78,73909,1.0,0.0,0.0,0.0
79,73910,0.2,0.0,0.0,0.8
80,73911,0.8,0.0,0.2,0.0
81,73912,0.0,0.0,1.0,0.0
82,73913,0.0,0.0,1.0,0.0
83,73914,0.4,0.0,0.6,0.0
84,73915,0.2,0.0,0.8,0.0
85,73916,0.0,1.0,0.0,0.0
86,73917,0.0,1.0,0.0,0.0
87,73918,0.0,0.4,0.0,0.6
88,73919,0.0,1.0,0.0,0.0
89,73920,0.0,1.0,0.0,0.0
90,73921,0.0,0.6,0.0,0.4
91,73922,0.0,0.0,0.0,1.0
92,73923,1.0,0.0,0.0,0.0
93,73924,0.2,0.0,0.0,0.8
94,73925,0.0,1.0,0.0,0.0
95,73926,0.2,0.0,0.2,0.6
96,73927,1.0,0.0,0.0,0.0
97,73928,0.0,0.8,0.0,0.2
98,73929,0.0,0.8,0.0,0.2
99,73930,0.4,0.0,0.0,0.6
100,73931,0.0,0.4,0.0,0.6
101,73932,0.0,1.0,0.0,0.0
102,73933,1.0,0.0,0.0,0.0
103,73934,0.6,0.0,0.0,0.4
104,73935,0.0,0.0,0.0,1.0
105,73936,1.0,0.0,0.0,0.0
106,73937,0.0,0.2,0.0,0.8
107,73938,0.0,0.8,0.0,0.2
108,73939,0.8,0.0,0.0,0.2
109,73940,0.0,0.0,0.0,1.0
110,73941,0.0,0.6,0.0,0.4
111,73942,0.0,1.0,0.0,0.0
112,73943,0.0,0.6,0.0,0.4
113,73944,0.0,1.0,0.0,0.0
114,73945,1.0,0.0,0.0,0.0
115,73946,0.6,0.0,0.0,0.4
116,73947,0.2,0.0,0.8,0.0
117,73948,0.8,0.0,0.0,0.2
118,73949,0.8,0.0,0.0,0.2
119,73950,0.0,0.0,0.0,1.0
120,73951,0.0,0.8,0.0,0.2
121,73952,0.0,0.2,0.0,0.8
122,73953,0.8,0.0,0.2,0.0
123,73954,0.6,0.0,0.4,0.0
124,73955,1.0,0.0,0.0,0.0
125,73956,0.2,0.0,0.8,0.0
126,73957,0.0,0.4,0.0,0.6
127,73958,1.0,0.0,0.0,0.0
128,73959,1.0,0.0,0.0,0.0
129,73960,0.0,0.0,1.0,0.0
130,73961,0.0,1.0,0.0,0.0
131,73962,0.0,0.6,0.0,0.4
132,73963,0.0,0.4,0.0,0.6
133,73964,0.6,0.0,0.4,0.0
134,73965,0.0,1.0,0.0,0.0
135,73966,0.4,0.0,0.6,0.0
136,73967,0.2,0.2,0.6,0.0
137,73968,1.0,0.0,0.0,0.0
138,73969,0.2,0.0,0.0,0.8
139,73970,0.0,0.0,0.0,1.0
140,73971,1.0,0.0,0.0,0.0
141,73972,0.6,0.0,0.0,0.4
142,73973,0.6,0.0,0.4,0.0
143,73974,0.0,0.0,0.0,1.0
144,73975,0.6,0.0,0.4,0.0
145,73976,1.0,0.0,0.0,0.0
146,73977,1.0,0.0,0.0,0.0
147,73978,0.4,0.0,0.6,0.0
148,73979,0.2,0.4,0.0,0.4
149,73980,1.0,0.0,0.0,0.0
150,73981,1.0,0.0,0.0,0.0
151,73982,0.4,0.0,0.4,0.2
152,73983,0.0,0.0,1.0,0.0
153,73984,0.0,0.0,0.8,0.2
154,73985,0.4,0.0,0.0,0.6
155,73986,0.4,0.0,0.4,0.2
156,73987,0.0,1.0,0.0,0.0
157,73988,0.0,0.0,0.8,0.2
158,73989,0.0,1.0,0.0,0.0
159,73990,0.0,0.0,0.0,1.0
160,73991,0.0,1.0,0.0,0.0
161,73992,0.0,0.2,0.0,0.8
162,73993,0.0,1.0,0.0,0.0
163,73994,0.0,0.4,0.0,0.6
164,73995,0.0,0.4,0.0,0.6
165,73996,0.0,0.6,0.0,0.4
166,73997,1.0,0.0,0.0,0.0
167,73998,0.0,0.0,0.0,1.0
168,73999,0.0,0.0,0.0,1.0
169,74000,0.2,0.0,0.0,0.8
170,74001,0.4,0.0,0.0,0.6
171,74002,0.4,0.2,0.4,0.0
172,74003,0.0,0.0,0.0,1.0
173,74004,0.2,0.0,0.8,0.0
174,74005,0.8,0.0,0.0,0.2
175,74006,0.0,0.2,0.0,0.8
176,74007,0.0,0.2,0.0,0.8
177,74008,0.0,1.0,0.0,0.0
178,74009,1.0,0.0,0.0,0.0
179,74010,0.0,1.0,0.0,0.0
180,74011,0.0,0.8,0.0,0.2
181,74012,0.0,1.0,0.0,0.0
182,74013,0.0,0.4,0.0,0.6
183,74014,0.0,0.6,0.0,0.4
184,74015,0.0,1.0,0.0,0.0
185,74016,0.0,0.6,0.0,0.4
186,74017,0.0,0.6,0.0,0.4
187,74018,0.0,0.6,0.0,0.4
188,74019,1.0,0.0,0.0,0.0
189,74020,0.0,1.0,0.0,0.0
190,74021,0.0,0.0,1.0,0.0
191,74022,0.0,1.0,0.0,0.0
192,74023,0.0,0.4,0.0,0.6
193,74024,0.0,1.0,0.0,0.0
194,74025,1.0,0.0,0.0,0.0
195,74026,0.0,1.0,0.0,0.0
196,74027,0.2,0.4,0.0,0.4
197,74028,0.0,1.0,0.0,0.0
198,74029,0.0,1.0,0.0,0.0
199,74030,0.0,0.4,0.0,0.6
200,74031,0.4,0.0,0.6,0.0
201,74032,0.0,0.4,0.0,0.6
202,74033,0.2,0.0,0.8,0.0
203,74034,0.0,0.0,0.0,1.0
204,74035,0.0,0.0,1.0,0.0
205,74036,1.0,0.0,0.0,0.0
206,74037,0.0,0.0,0.0,1.0
207,74038,0.2,0.2,0.0,0.6
208,74039,0.0,0.4,0.0,0.6
209,74040,0.2,0.6,0.0,0.2
210,74041,0.0,0.0,0.8,0.2
211,74042,0.0,0.6,0.0,0.4
212,74043,1.0,0.0,0.0,0.0
213,74044,0.4,0.4,0.0,0.2
214,74045,0.8,0.0,0.2,0.0
215,74046,0.0,0.8,0.0,0.2
216,74047,0.0,1.0,0.0,0.0
217,74048,0.6,0.0,0.4,0.0
218,74049,1.0,0.0,0.0,0.0
219,74050,0.6,0.0,0.0,0.4
220,74051,0.0,0.0,0.2,0.8
221,74052,0.0,1.0,0.0,0.0
222,74053,0.0,0.2,0.0,0.8
223,74054,0.0,0.0,1.0,0.0
224,74055,0.6,0.2,0.0,0.2
225,74056,0.0,0.6,0.0,0.4
226,74057,0.0,1.0,0.0,0.0
