id,Classic,Deal,Flex,Saver
73831,0.021616546,0.828152054,0.00311797,0.147113429
73832,0.028879782,0.297979953,0.005447975,0.66769229
73833,0.019603022,0.830300156,0.002893552,0.14720327
73834,0.044549415,0.027961123,0.864207467,0.063281995
73835,0.049427788,0.031652796,0.008383106,0.91053631
73836,0.017928118,0.830933127,0.002677611,0.148461144
73837,0.108647314,0.045472684,0.793913679,0.051966324
73838,0.425888786,0.03468192,0.477414085,0.062015209
73839,0.84247842,0.015596295,0.079013551,0.062911733
73840,0.621948248,0.017789621,0.022311061,0.33795107
73841,0.881461174,0.02015952,0.040674561,0.057704745
73842,0.013367788,0.035277361,0.900248956,0.051105895
73843,0.490620532,0.036844983,0.019170917,0.453363567
73844,0.809723889,0.017584159,0.112576935,0.060115018
73845,0.524668941,0.041423807,0.019560416,0.414346836
73846,0.030135414,0.225073812,0.006093394,0.738697379
73847,0.031537855,0.321977776,0.005512118,0.640972252
73848,0.805194865,0.018610757,0.126252303,0.049942075
73849,0.805194865,0.018610757,0.126252303,0.049942075
73850,0.84521865,0.027383173,0.044129892,0.083268286
73851,0.786029181,0.011300176,0.037540067,0.165130576
73852,0.807986063,0.018115419,0.128840037,0.045058481
73853,0.023409904,0.05006411,0.880217308,0.046308678
73854,0.704065094,0.043635877,0.027319617,0.224979412
73855,0.908738678,0.034892126,0.026947859,0.029421336
73856,0.016716318,0.70386194,0.003297048,0.276124694
73857,0.016328707,0.830925953,0.002511445,0.150233896
73858,0.018819507,0.838633716,0.002488619,0.140058159
73859,0.804007653,0.021351374,0.108612862,0.066028112
73860,0.838550856,0.014600922,0.024178655,0.122669566
73861,0.02339311,0.575225989,0.003894703,0.397486199
73862,0.154102203,0.53537192,0.011747515,0.298778361
73863,0.8153103,0.016050828,0.124581626,0.044057245
73864,0.582087669,0.068731345,0.127854843,0.221326143
73865,0.020936389,0.68918304,0.003478476,0.286402095
73866,0.013773117,0.038250705,0.896331264,0.051644914
73867,0.03518861,0.293213858,0.006155923,0.665441609
73868,0.05607892,0.137767194,0.00656707,0.799586817
73869,0.014400973,0.842704579,0.00272218,0.140172268
73870,0.085152319,0.368543428,0.007948815,0.538355438
73871,0.876716091,0.073634119,0.002863061,0.04678673
73872,0.036589479,0.041630941,0.007331135,0.914448445
73873,0.047378665,0.449178539,0.004932241,0.498510554
73874,0.029613118,0.44368456,0.004699192,0.52200313
73875,0.014897988,0.857720057,0.002232661,0.125149294
73876,0.834078023,0.020129196,0.077083119,0.068709662
73877,0.791837854,0.02563729,0.098148641,0.084376214
73878,0.839776088,0.021308918,0.102668104,0.036246891
73879,0.8153103,0.016050828,0.124581626,0.044057245
73880,0.016855818,0.042458735,0.883652886,0.05703256
73881,0.807986063,0.018115419,0.128840037,0.045058481
73882,0.046831374,0.589514034,0.004360663,0.359293929
73883,0.244645023,0.104485015,0.501467842,0.149402119
73884,0.121472985,0.192508736,0.011452954,0.674565325
73885,0.107855685,0.024939735,0.83566016,0.03154442
73886,0.009933701,0.933867059,0.002559593,0.053639647
73887,0.017580788,0.811534497,0.002751499,0.168133217
73888,0.017291176,0.749370573,0.003924829,0.229413422
73889,0.062550365,0.061530385,0.00604771,0.86987154
73890,0.020591878,0.838518415,0.002974678,0.137915029
73891,0.023417156,0.64366222,0.003634208,0.329286416
73892,0.020815308,0.561634103,0.00386486,0.413685728
73893,0.017905794,0.785936844,0.00282947,0.193327892
73894,0.112730713,0.046056933,0.785265093,0.055947262
73895,0.876462303,0.020417758,0.053927239,0.0491927
73896,0.8153103,0.016050828,0.124581626,0.044057245
73897,0.691849766,0.027240569,0.217506826,0.063402839
73898,0.01762406,0.050992125,0.886402886,0.044980929
73899,0.835459852,0.030539538,0.081157462,0.052843148
73900,0.649798548,0.030775397,0.252913121,0.066512934
73901,0.052770036,0.176012261,0.006098334,0.765119369
73902,0.095136288,0.046527166,0.807253033,0.051083512
73903,0.897387284,0.041886979,0.029770166,0.03095557
73904,0.035619227,0.084402071,0.007010755,0.872967948
73905,0.132661165,0.041707893,0.768877801,0.056753141
73906,0.043952487,0.041495436,0.00768132,0.906870757
73907,0.893868132,0.01212259,0.024302495,0.069706784
73908,0.112730713,0.046056933,0.785265093,0.055947262
73909,0.815668243,0.016405376,0.122732229,0.045194152
73910,0.276581369,0.017805565,0.011600286,0.69401278
73911,0.024376571,0.053905096,0.863908893,0.05780944
73912,0.082284661,0.081750688,0.739166807,0.096797843
73913,0.032608229,0.082682386,0.833223782,0.051485603
73914,0.889031766,0.024741531,0.056749886,0.029476817
73915,0.066224014,0.102057102,0.733502743,0.098216141
73916,0.01187916,0.917386976,0.002543311,0.068190552
73917,0.022476872,0.825125578,0.003202129,0.149195421
73918,0.07956637,0.084551729,0.007005141,0.82887676
73919,0.014126311,0.81042198,0.003138995,0.172312714
73920,0.014897988,0.857720057,0.002232661,0.125149294
73921,0.020609633,0.579067921,0.003778657,0.396543789
73922,0.113902321,0.05013002,0.007636424,0.828331235
73923,0.123793458,0.057081044,0.757227227,0.061898271
73924,0.020931199,0.16319083,0.004058767,0.811819204
73925,0.019755125,0.652513481,0.003676014,0.32405538
73926,0.155608537,0.056424827,0.008939597,0.779027039
73927,0.847124953,0.011434387,0.089632594,0.051808066
73928,0.04824096,0.364327867,0.005727599,0.581703574
73929,0.016889779,0.772634942,0.002637266,0.207838014
73930,0.626614094,0.038005153,0.008227487,0.327153266
73931,0.035999319,0.449130643,0.0044558,0.510414239
73932,0.021993502,0.84279177,0.003078413,0.132136316
73933,0.901699321,0.056460254,0.00332946,0.038510965
73934,0.888776071,0.03791896,0.02065739,0.052647579
73935,0.049134579,0.140932548,0.007466596,0.802466276
73936,0.820545837,0.023487352,0.093664335,0.062302476
73937,0.042953348,0.292721363,0.00535861,0.65896668
73938,0.021114924,0.604559646,0.003406078,0.370919352
73939,0.803595552,0.037716795,0.03659687,0.122090783
73940,0.058729365,0.035700443,0.007008341,0.898561851
73941,0.022181024,0.679725174,0.003145448,0.294948354
73942,0.019619997,0.810396157,0.002926941,0.167056905
73943,0.01805553,0.809361439,0.002646278,0.169936752
73944,0.020257236,0.842210039,0.002956958,0.134575767
73945,0.683120504,0.027526899,0.25580693,0.033545666
73946,0.888776071,0.03791896,0.02065739,0.052647579
73947,0.047328104,0.046185029,0.864305489,0.042181377
73948,0.889792778,0.032710029,0.047562617,0.029934576
73949,0.885047598,0.017634109,0.078327705,0.018990587
73950,0.194983228,0.041092707,0.009594218,0.754329847
73951,0.02259028,0.82523055,0.003232855,0.148946315
73952,0.478497687,0.039960883,0.017670211,0.463871219
73953,0.839585444,0.021162767,0.088564069,0.05068772
73954,0.829764956,0.019904062,0.097078758,0.053252224
73955,0.8153103,0.016050828,0.124581626,0.044057245
73956,0.048924073,0.053851123,0.854578039,0.042646765
73957,0.045593241,0.236836853,0.006459335,0.711110571
73958,0.735786288,0.043462831,0.135096438,0.085654443
73959,0.807986063,0.018115419,0.128840037,0.045058481
73960,0.037580872,0.04379511,0.882891027,0.035732991
73961,0.022181024,0.679725174,0.003145448,0.294948354
73962,0.02711667,0.447813239,0.004726723,0.520343368
73963,0.024856107,0.445442946,0.004317716,0.525383232
73964,0.243278337,0.051806781,0.649656469,0.055258413
73965,0.016849777,0.844414896,0.002369983,0.136365344
73966,0.258620294,0.05803984,0.628582693,0.054757173
73967,0.022651159,0.064285414,0.86998257,0.043080857
73968,0.919392139,0.008831236,0.032289392,0.039487232
73969,0.06107377,0.124234263,0.005044226,0.809647741
73970,0.287045233,0.095823841,0.012829696,0.604301231
